city,hotel_name,hotel_url,latitude,longitude,rating,description,price
Colmar,Novotel Suites Colmar Centre,https://www.booking.com/hotel/fr/novotel-suites-colmar-centre.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9jb2xtYXJIM1gEaBWIAQGYAQm4ARfIAQzYAQHoAQH4AQOIAgGoAgO4Asibu74GwAIB0gIkODEyNjM5MDQtMWE4Mi00ZWI1LTlhMjEtOGJlN2VjNGZhZjU02AIF4AIB&ucfs=1&arphpl=1&checkin=2025-03-05&checkout=2025-03-09&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=685251245fcb008c&srepoch=1741606345&from=searchresults,48.07161742,7.35999106,8.9,"Situated in Colmar, 1.1 km from Colmar Train Station, Novotel Suites Colmar Centre features accommodation with a shared lounge, private parking, a terrace and a bar. With free WiFi, this 4-star hotel offers a 24-hour front desk and a concierge service. The property is non-smoking and is set 1.1 km from House of the Heads.

The hotel will provide guests with air-conditioned rooms with a wardrobe, a coffee machine, a microwave, a minibar, a safety deposit box, a flat-screen TV and a private bathroom with a shower. At Novotel Suites Colmar Centre rooms come with a seating area.

Guests at the accommodation can enjoy a buffet breakfast.

Guests staying at Novotel Suites Colmar Centre have access to the in-house wellness area which includes a sauna and a hammam.

Saint-Martin Collegiate Church is 700 metres from the hotel, while Colmar Expo is 4.1 km from the property. EuroAirport Mulhouse Airport is 55 km away.",N/A
Eguisheim,BREDALA**** Gîte maison Alsacienne avec Jardin,https://www.booking.com/hotel/fr/bredala-gite-maison-alsacienne-avec-jardin-eguisheim.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCEHNlYXJjaF9lZ3Vpc2hlaW1IM1gEaBWIAQGYAQm4ARfIAQzYAQHoAQH4AQOIAgGoAgO4Asubu74GwAIB0gIkZmE0Y2M0N2ItYjM3Ny00YWU2LTg1NTgtNTYwNDI5MjQ0NWQ52AIF4AIB&ucfs=1&arphpl=1&checkin=2025-03-05&checkout=2025-03-09&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=9ba6512558560453&srepoch=1741606348&from=searchresults,48.04184042,7.30485894,9.2,"Situated in Eguisheim, 5.9 km from Colmar Train Station and 6.8 km from House of the Heads, BREDALA**** Gîte maison Alsacienne avec Jardin offers a garden and air conditioning. Featuring mountain and garden views, this apartment also includes free WiFi. The property is non-smoking and is set 7.2 km from Saint-Martin Collegiate Church.

This apartment features 2 bedrooms, a kitchen with a dishwasher and an oven, a flat-screen TV, a seating area and 1 bathroom fitted with a bath. Towels and bed linen are available in the apartment. The property has an outdoor dining area.

Barbecue facilities are provided.

Colmar Expo is 10 km from the apartment, while Le Haut Koenigsbourg Castle is 35 km from the property. The nearest airport is EuroAirport Mulhouse Airport, 54 km from BREDALA**** Gîte maison Alsacienne avec Jardin.",N/A
Besancon,"Chambre d'hôte chez l'habitant, avec parking gratuit",https://www.booking.com/hotel/fr/chambre-d-hote-chez-l-habitant-besancon.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCD3NlYXJjaF9iZXNhbmNvbkgzWARoFYgBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCz5u7vgbAAgHSAiQxNTU1MzM0Yi0yOWFlLTQ4MjgtODlhMi05ZGU5MzM5ZjM5N2TYAgXgAgE&ucfs=1&arphpl=1&checkin=2025-03-05&checkout=2025-03-09&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=db60512756ee037a&srepoch=1741606352&from=searchresults,47.25060738,6.03308256,8.7,"Featuring inner courtyard views, Chambre d'hôte chez l'habitant, avec parking gratuit offers accommodation with a shared lounge and a balcony, around 1.1 km from Besancon Viotte Train Station. This property offers access to a terrace and free private parking. The accommodation features a lift, a shared kitchen and luggage storage for guests.

With free WiFi, this homestay provides a satellite flat-screen TV and a fully equipped kitchen with a dishwasher and oven. Towels and bed linen are featured in the homestay. The accommodation offers an air conditioning, a heating and a shared bathroom.

À la carte and continental breakfast options with local specialities, fresh pastries and pancakes are available. There is a coffee shop on-site.

Guests at the homestay will be able to enjoy activities in and around Besançon, like walking tours.

Besançon-Mouillère train station is 1.4 km from Chambre d'hôte chez l'habitant, avec parking gratuit, while Micropolis is 5.9 km away. Dole-Jura Airport is 63 km from the property.",N/A
Dijon,Holiday Inn Dijon Toison D'or by IHG,https://www.booking.com/hotel/fr/holiday-inn-dijon.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9kaWpvbkgzWARoFYgBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gC05u7vgbAAgHSAiQ0ZjdkNWY5Yy00NDRjLTQ4NjAtODhjOC1kYTE4MTcxZWFiYmHYAgXgAgE&ucfs=1&arphpl=1&checkin=2025-03-05&checkout=2025-03-09&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=15c55129862a0768&srepoch=1741606356&from=searchresults,47.35570000,5.05200000,8.1,"Offering a spa with sauna, hammam and fitness centre, the Holiday Inn is located just outside Dijon’s historic city centre, in the heart of the Toison d’Or Technological Park. It offers air-conditioned accommodation with free WiFi access.

A flat-screen TV with satellite channels is provided in each spacious room. The rooms have a contemporary décor with colour accents. Private bathrooms feature Starck bathroom fixtures.

A buffet breakfast is served daily and the restaurant, Gallery 412, serves traditional and modern French cuisine. The on-site bar, Light Bar, serves a large selection of wines.

Holiday Inn Dijon is a 15-minute tramway ride from the Dijon Train Station and a 5-minute walk from Zenith de Dijon. Free parking is available on site and the hotel is a 2-minute drive from the highway. With 180 shops, The Centre La Toison d'Or shopping centre is a 1-minute walk away.",N/A
Annecy,Hôtel Catalpa,https://www.booking.com/hotel/fr/au-faisan-dora-c.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9hbm5lY3lIM1gEaBWIAQGYAQm4ARfIAQzYAQHoAQH4AQOIAgGoAgO4Atebu74GwAIB0gIkZjMwNGVlYWUtZjgyZC00YTM0LTgyMzYtNDdmYjEwOTgzMDJh2AIF4AIB&ucfs=1&arphpl=1&checkin=2025-03-05&checkout=2025-03-09&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=916b512b58080c6b&srepoch=1741606360&from=searchresults,45.90551449,6.14412814,8.4,"Set just off the banks of Lake Annecy, this hotel is 1.5 km from the centre of town.

The rooms at Hôtel Catalpa include an LCD TV with satellite channels. They also provide free toiletries in the en-suite bathroom.

You can enjoy the continental breakfast in your guest room or in the hotel’s dining room.

You can also park your car in the hotel’s private parking with an extra cost and upon prior reservation.

Annecy Casino is 300 meters away, and a public beach is 300 metres away from the property.

A traditional restaurant is available for lunch and dinner on Wednesdays, Thursdays, Fridays, Saturday and Sundays for lunch only",N/A
Grenoble,B&B HOTEL Grenoble Centre Alpexpo,https://www.booking.com/hotel/fr/b-amp-b-grenoble-centre-alpexpo.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCD3NlYXJjaF9ncmVub2JsZUgzWARoFYgBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gC25u7vgbAAgHSAiQ2YzMwZGNiMi1jYmJmLTRjNDktYWNkNS05N2FkNjNjNGJhMjnYAgXgAgE&ucfs=1&arphpl=1&checkin=2025-03-05&checkout=2025-03-09&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=cd7f512d962a1185&srepoch=1741606364&from_sustainable_property_sr=1&from=searchresults,45.15883667,5.73443547,7.6,"This B&B hotel is located in Grenoble, just 800 metres from Alpexpo. With a 24-hour reception, it offers a free Wi-Fi connection and soundproofed accommodation. It is 200 metres from Grand Place Tram Station.

All of the rooms at B&B Grenoble Centre Alpexpo are serviced by a lift and are decorated in a contemporary style. Each room features a desk, a flat-screen TV and a private bathroom with a shower.

A continental breakfast is served every morning in the communal lounge.

Luggage storage is provided at B&B Grenoble Centre Alpexpo. There are limited parking places available free of charge, and the Bastille is 7 km away. There is access to A480 motorway, 5 km away.",N/A
Lyon,Citadines Presqu'île Lyon,https://www.booking.com/hotel/fr/citadines-aparthotel-lyon-presqu-ile.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCC3NlYXJjaF9seW9uSDNYBGgViAEBmAEJuAEXyAEM2AEB6AEB-AEDiAIBqAIDuALem7u-BsACAdICJGQ4OTkyYjdkLWVhYWMtNGMyNi1hMWFjLWI1YmI2MjdmOWYyNNgCBeACAQ&ucfs=1&arphpl=1&checkin=2025-03-05&checkout=2025-03-09&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=2b22512f28150314&srepoch=1741606367&from_sustainable_property_sr=1&from=searchresults,45.76158736,4.83262651,8.5,"Citadines Presqu'île Lyon is located in the centre of Lyon, between the Rhône and Saône Rivers in the heart of the Presqu'île district. It offers fully equipped studios and apartments with free WiFi access.

Each apartment and studio at Citadines Presqu'île Lyon has a safety deposit box, ironing facilities and satellite TV. The kitchenette has a fridge, microwave, dishwasher and toaster. Bed linen and towels are provided. Some units have air conditioning.

For an additional cost, a buffet breakfast is available daily in the breakfast room. The reception desk is open 24 hours a day. There is a launderette on site offering a dry-cleaning service at a supplement.

Citadines Presqu'île Lyon is located 450 metres from Cordeliers Bourse Metro Station. Vieux Lyon is a 6-minute walk away, while Place Bellecour is 500 metres from the property. Lyon-Perrache Train Station is a 13-minute drive away. Parking is available nearby for an additional charge and is subject to availability.",N/A
Lyon,Vieux Lyon avec vue sur la Saône AIL,https://www.booking.com/hotel/fr/renovated-apartment-saone-view-in-the-heart-of.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCC3NlYXJjaF9seW9uSDNYBGgViAEBmAEJuAEXyAEM2AEB6AEB-AEDiAIBqAIDuALem7u-BsACAdICJGQ4OTkyYjdkLWVhYWMtNGMyNi1hMWFjLWI1YmI2MjdmOWYyNNgCBeACAQ&ucfs=1&arphpl=1&checkin=2025-03-05&checkout=2025-03-09&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=2b22512f28150314&srepoch=1741606367&from=searchresults,45.76719430,4.82623820,8.3,"Situated right in the centre of Lyon, Vieux Lyon avec vue sur la Saône AIL provides accommodation with river views, just 1.2 km from Fourviere Roman Theatre and 1.2 km from Basilica of Notre-Dame de Fourviere. The property is located 700 metres from the Museum of Fine Arts of Lyon, 800 metres from Musée Miniature et Cinéma and 3.1 km from Lyon Perrache Train Station. The property features a 24-hour front desk and free WiFi is available throughout the property.

The apartment has 1 bedroom, a TV, a fully equipped kitchen with an oven and a microwave, a washing machine, and 1 bathroom with a shower. Towels and bed linen are available in the apartment. For added privacy, the accommodation features a private entrance.

Part-Dieu Train Station is 3.3 km from the apartment, while Musée des Confluences is 6.2 km from the property. Lyon - Saint Exupery Airport is 31 km away.",N/A
Lyon,Hotelo Lyon Ainay,https://www.booking.com/hotel/fr/hoteldelaloire.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCC3NlYXJjaF9seW9uSDNYBGgViAEBmAEJuAEXyAEM2AEB6AEB-AEDiAIBqAIDuALem7u-BsACAdICJGQ4OTkyYjdkLWVhYWMtNGMyNi1hMWFjLWI1YmI2MjdmOWYyNNgCBeACAQ&ucfs=1&arphpl=1&checkin=2025-03-05&checkout=2025-03-09&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=2b22512f28150314&srepoch=1741606367&from_sustainable_property_sr=1&from=searchresults,45.75042191,4.82598871,8.4,"Hotelo Lyon Ainay offers affordable accommodation near the city centre and old town. It is a 5-minute walk from the Lyon Perrache railway station and free WiFi is available.

Rooms at the Hotelo Lyon Ainay are spacious and soundproofed. They are all equipped with en suite facilities and satellite TV. Some of the rooms are air-conditioned.

Hotelo Lyon Ainay  is conveniently located near public transport and shops, making it an ideal base for exploring Lyon. Paid underground public parking is available in front of the property.

Please note that for reservations of 5 rooms or more different cancellation conditions apply.",N/A
Lyon,mmm - 25BA - Suites de Luxe - Centre de Lyon,https://www.booking.com/hotel/fr/mmm-t3-luxe-amp-design-4-personnes-centre-lyon.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCC3NlYXJjaF9seW9uSDNYBGgViAEBmAEJuAEXyAEM2AEB6AEB-AEDiAIBqAIDuALem7u-BsACAdICJGQ4OTkyYjdkLWVhYWMtNGMyNi1hMWFjLWI1YmI2MjdmOWYyNNgCBeACAQ&ucfs=1&arphpl=1&checkin=2025-03-05&checkout=2025-03-09&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=2b22512f28150314&srepoch=1741606367&from=searchresults,45.76631930,4.83729330,9.2,"Ideally situated in the centre of Lyon, mmm - 25BA - Suites de Luxe - Centre de Lyon features air-conditioned rooms with free WiFi and free private parking. It is situated 400 metres from the Museum of Fine Arts of Lyon and provides a lift. The apartment has family rooms.

At the apartment complex, units include a wardrobe, a flat-screen TV, a private bathroom, bed linen and towels. There is also a fully equipped kitchen equipped with a microwave and kitchenware. The units are equipped with heating facilities.

Popular points of interest near the apartment include Musée Miniature et Cinéma, Fourviere Roman Theatre and Basilica of Notre-Dame de Fourviere. Lyon - Saint Exupery Airport is 31 km from the property.",N/A
